Variable,Category,Tag,Weight
eG,focus_type,dutch angle,5
eG,focus_type,from above,5
eG,focus_type,from behind,5
eG,focus_type,from below,5
eG,focus_type,from side,5
eG,focus_type,straight-on,5
eW,focus,solo focus,5
eW,focus,ass focus,5
eW,focus,foot focus,5
eW,focus,hip focus,5
eW,focus,back focus,5
eW,focus,breast focus,5
eW,focus,armpit focus,3
eW,focus,eye focus,5
eO,scenery,landscape,5
eO,scenery,nature,5
eO,scenery,scenery,5
eO,scenery,still life,5
eO,scenery,cityscape,5
eV,background_color,white background,5
eV,background_color,grey background,5
eV,background_color,gradient background,7
eV,background_color,blurry background,5
eV,background_color,blue background,5
eV,background_color,pink background,5
eV,background_color,black background,5
eV,background_color,yellow background,5
eV,background_color,red background,5
eV,background_color,two-tone background,7
eV,background_color,brown background,5
eV,background_color,green background,5
eV,background_color,purple background,5
eV,background_color,orange background,5
eV,background_color,floral background,5
eV,background_color,polka dot background,5
eV,background_color,striped background,5
eV,background_color,multicolored background,7
eV,background_color,starry background,5
eV,background_color,dark background,5
eV,background_color,checkered background,5
eV,background_color,aqua background,5
eV,background_color,beige background,5
eV,background_color,heart background,5
eV,background_color,argyle background,3
eV,background_color,halftone background,4
eV,background_color,sparkle background,5
eV,background_color,abstract background,5
eV,background_color,patterned background,5
eV,background_color,plaid background,4
eV,background_color,sunburst background,4
eV,background_color,tan background,5
eV,background_color,light blue background,5
eV,background_color,snowflake background,5
eV,background_color,grid background,5
eV,background_color,leaf background,5
eV,background_color,rainbow background,5
eV,background_color,lavender background,5
eV,background_color,light brown background,5
eV,background_color,monochrome background,5
eV,background_color,bubble background,5
eV,background_color,sepia background,5
eV,background_color,fiery background,5
eV,background_color,silver background,5
eV,background_color,splatter background,5
eV,background_color,sketch background,5
eV,background_color,scenery,100
eU,background_type,portrait,4
eU,background_type,upper body,5
eU,background_type,cowboy shot,3
eU,background_type,full body,4
eU,background_type,close-up,1
eU,background_type,split crop,1
eZ,ears,ligne claire,5
eZ,ears,realistic,5
eZ,ears,sketch,5
eZ,ears,jaggy lines,5
eZ,ears,retro artstyle,5
eZ,ears,toon (style),5
eZ,ears,western comics (style),5
eZ,ears,surreal,5
eZ,ears,abstract,5
eZ,ears,spot color,5
eZ,ears,graphite (medium),5
eZ,ears,watercolor (medium),5
eZ,ears,concept art,5
eZ,ears,flat color,5
eZ,ears,ai-generated,5
eZ,ears,faux traditional media,5
eZ,ears,oekaki,5
eZ,ears,jaggy lines,5
eZ,ears,minimalism,5
eZ,ears,impressionism,5
eZ,ears,1970s (style),5
eZ,ears,1980s (style),5
eZ,ears,1990s (style),5
eH,expressions,"bat ears, bat wings",5
eH,expressions,bear ears,5
eH,expressions,rabbit ears,5
eH,expressions,"cat ears, cat tail",5
eH,expressions,"cow ears, cow horns, cow tail",5
eH,expressions,"deer ears, deer antlers",5
eH,expressions,"dog ears, dog tail",5
eH,expressions,"fox ears, fox tail",5
eH,expressions,"horse ears, horse tail",5
eH,expressions,"monkey ears, monkey tail",5
eH,expressions,"mouse ears, mouse tail",5
eH,expressions,"sheep ears, sheep horns",5
eH,expressions,"squirrel ears, squirrel tail",5
eH,expressions,"tiger ears, tiger tail",5
eH,expressions,"wolf ears, wolf tail",5
eH,expressions,"oni, oni horns",5
eH,expressions,"elf, pointy ears",5
eH,expressions,"elf, long pointy ears",5
eH,expressions,"dark elf, pointy ears",5
eH,expressions,"dark elf, long pointy ears",5
eH,expressions,fairy,5
eH,expressions,"dragon horns, dragon tail",5
eH,expressions,"demon horns, demon tail",5
eH,expressions,"cow ears, cow horns",5
eH,expressions,angel,5
eH,expressions,android,5
eH,expressions,"mermaid, scales",5
eH,expressions,"head fins, fish tail",5
eH,expressions,"raccoon ears, raccoon tail",5
eH,expressions,slime girl,5
eH,expressions,lamia,5
eH,expressions,harpy,5
eH,expressions,orc,5
eH,expressions,cyclops,5
eH,expressions,centaur,5
eH,expressions,monster,5
eJ,eyes_special,heterochromia,5
eJ,eyes_special,multicolored eyes,5
eJ,eyes_special,no eyes,2
eJ,eyes_special,ringed eyes,5
eJ,eyes_special,heart-shaped pupils,5
eJ,eyes_special,star-shaped pupils,5
eJ,eyes_special,bags under eyes,5
