Variable,Category,Tag,Weight,Exclude,Require,Extra
tk,camera_angle,dutch angle,12,[],[],[]
tk,camera_angle,from above,12,"[""above""]",[],[]
tk,camera_angle,from behind,12,"[""behind""]",[],[]
tk,camera_angle,from below,12,"[""below""]",[],[]
tk,camera_angle,from side,12,[],[],[]
tk,camera_angle,three quarter view,12,[],[],[]
tk,camera_angle,straight-on,12,"[""front""]",[],[]
tj,framing,portrait,8,[],[],[]
tj,framing,upper body,12,"[""body""]",[],[]
tj,framing,cowboy shot,12,"[""legs"",""body""]",[],[]
tj,framing,full body,12,"[""feet"",""legs"",""body""]",[],[]
tC,focus,solo focus,12,[],[],[]
tC,focus,ass focus,12,[],[],"[""front""]"
tC,focus,foot focus,12,[],"[""feet""]",[]
tC,focus,hip focus,12,[],[],[]
tC,focus,back focus,12,[],[],"[""front""]"
tC,focus,breast focus,4,[],"[""female""]",[]
tC,focus,armpit focus,4,[],[],[]
tC,focus,eye focus,12,[],[],[]
tI,scenery,landscape,12,[],[],[]
tI,scenery,nature,12,[],[],[]
tI,scenery,scenery,12,[],[],[]
tI,scenery,still life,12,[],[],[]
tI,scenery,cityscape,12,[],[],[]
tS,background,white background,12,[],[],[]
tS,background,grey background,12,[],[],[]
tS,background,gradient background,16,[],[],[]
tS,background,blurry background,12,[],[],[]
tS,background,blue background,12,[],[],[]
tS,background,pink background,12,[],[],[]
tS,background,black background,12,[],[],[]
tS,background,yellow background,12,[],[],[]
tS,background,red background,12,[],[],[]
tS,background,two-tone background,16,[],[],[]
tS,background,brown background,12,[],[],[]
tS,background,green background,12,[],[],[]
tS,background,purple background,12,[],[],[]
tS,background,orange background,12,[],[],[]
tS,background,floral background,12,[],[],[]
tS,background,polka dot background,12,[],[],[]
tS,background,striped background,12,[],[],[]
tS,background,multicolored background,16,[],[],[]
tS,background,starry background,12,[],[],[]
tS,background,"simple background, starry background",12,[],[],[]
tS,background,dark background,12,[],[],[]
tS,background,"simple background, checkered background",12,[],[],[]
tS,background,aqua background,12,[],[],[]
tS,background,beige background,12,[],[],[]
tS,background,heart background,12,[],[],[]
